sku;rating;lk;dateupdate
33718;10.0;lk 1;15.04.2024
61646;80.0;lk 1;15.04.2024
33192;30.0;lk 1;15.04.2024
33731;20.0;lk 1;15.04.2024
33793;52.5;lk 1;15.04.2024
95482;65.0;lk 1;15.04.2024
33495;20.0;lk 1;15.04.2024
41545;45.0;lk 1;15.04.2024
10057;0.0;lk 2;15.04.2024
10057;30.0;lk 2;15.04.2024
98400;60.0;lk 2;15.04.2024
98401;27.5;lk 2;15.04.2024
35566;55.0;lk 2;15.04.2024
35792;22.5;lk 2;15.04.2024
44900;60.0;lk 2;15.04.2024
35921;15.0;lk 2;15.04.2024
81475;30.0;lk 2;15.04.2024
52121;37.5;lk 2;15.04.2024
36697;65.0;lk 2;15.04.2024
52121;5.0;lk 2;15.04.2024
41106;60.0;lk 2;15.04.2024
59595;35.0;lk 2;15.04.2024
52121;62.5;lk 2;15.04.2024
52990;55.0;lk 2;15.04.2024
54835;20.0;lk 2;15.04.2024
81476;62.5;lk 2;15.04.2024
86146;15.0;lk 2;15.04.2024
25356;50.0;lk 2;15.04.2024
25419;32.5;lk 2;15.04.2024
25597;25.0;lk 2;15.04.2024
31809;37.5;lk 2;15.04.2024
32176;50.0;lk 2;15.04.2024
35922;15.0;lk 2;15.04.2024
39208;15.0;lk 2;15.04.2024
35565;5.0;lk 2;15.04.2024
46037;15.0;lk 2;15.04.2024
53090;15.0;lk 2;15.04.2024
32489;30.0;lk 2;15.04.2024
34958;5.0;lk 2;15.04.2024
32191;5.0;lk 2;15.04.2024
32489;30.0;lk 2;15.04.2024
36697;65.0;lk 2;15.04.2024
14418;20.0;lk 3;15.04.2024
18257;70.0;lk 3;15.04.2024
98399;80.0;lk 3;15.04.2024
90621;0.0;lk 3;15.04.2024
62394;0.0;lk 3;15.04.2024
62394;55.0;lk 3;15.04.2024
62394;0.0;lk 3;15.04.2024
65964;50.0;lk 3;15.04.2024
68733;0.0;lk 3;15.04.2024
20104;25.0;lk 3;15.04.2024
65963;50.0;lk 3;15.04.2024
20104;15.0;lk 3;15.04.2024
68735;10.0;lk 3;15.04.2024
14857;40.0;lk 3;15.04.2024
68740;20.0;lk 3;15.04.2024
32127;30.0;lk 3;15.04.2024
19353;52.5;lk 3;15.04.2024
24699;27.5;lk 3;15.04.2024
24654;40.0;lk 3;15.04.2024
62394;0.0;lk 3;15.04.2024
28199;37.5;lk 3;15.04.2024
31640;10.0;lk 3;15.04.2024
31790;20.0;lk 3;15.04.2024
35552;15.0;lk 3;15.04.2024
13686;40.0;lk 3;15.04.2024
15393;32.5;lk 3;15.04.2024
15406;65.0;lk 3;15.04.2024
66883;25.0;lk 3;15.04.2024
17372;65.0;lk 3;15.04.2024
13686;20.0;lk 3;15.04.2024
18257;60.0;lk 3;15.04.2024
48970;15.0;lk 3;15.04.2024
44898;65.0;lk 3;15.04.2024
15634;52.5;lk 3;15.04.2024
20557;35.0;lk 3;15.04.2024
20557;35.0;lk 3;15.04.2024
20104;52.5;lk 3;15.04.2024
40336;30.0;lk 3;15.04.2024
35552;15.0;lk 3;15.04.2024
18257;60.0;lk 3;15.04.2024
35552;15.0;lk 3;15.04.2024
18764;40.0;lk 3;15.04.2024
20104;25.0;lk 3;15.04.2024
20104;25.0;lk 3;15.04.2024
28200;80.0;lk 3;15.04.2024
31796;20.0;lk 3;15.04.2024
31797;10.0;lk 3;15.04.2024
32127;10.0;lk 3;15.04.2024
32145;30.0;lk 3;15.04.2024
20104;52.5;lk 3;15.04.2024
24698;27.5;lk 3;15.04.2024
15201;60.0;lk 3;15.04.2024
15229;32.5;lk 3;15.04.2024
15364;27.5;lk 3;15.04.2024
15365;27.5;lk 3;15.04.2024
15385;27.5;lk 3;15.04.2024
90637;0.0;lk 3;15.04.2024
49084;70.0;lk 3;15.04.2024
17423;20.0;lk 3;15.04.2024
17423;30.0;lk 3;15.04.2024
17489;52.5;lk 3;15.04.2024
25603;32.5;lk 3;15.04.2024
46449;30.0;lk 3;15.04.2024
20557;35.0;lk 3;15.04.2024
20557;35.0;lk 3;15.04.2024
15867;32.5;lk 3;15.04.2024
15863;32.5;lk 3;15.04.2024
31797;10.0;lk 3;15.04.2024
46465;15.0;lk 3;15.04.2024
31933;10.0;lk 3;15.04.2024
16135;35.0;lk 3;15.04.2024
13686;40.0;lk 3;15.04.2024
15884;32.5;lk 3;15.04.2024
16135;55.0;lk 3;15.04.2024
24699;27.5;lk 3;15.04.2024
35552;40.0;lk 3;15.04.2024
15888;20.0;lk 3;15.04.2024
24700;27.5;lk 3;15.04.2024
15389;27.5;lk 3;15.04.2024
14205;32.5;lk 3;15.04.2024
13686;40.0;lk 3;15.04.2024
14199;60.0;lk 3;15.04.2024
13686;40.0;lk 3;15.04.2024
18257;70.0;lk 3;15.04.2024
18257;60.0;lk 3;15.04.2024
18257;80.0;lk 3;15.04.2024
13686;40.0;lk 3;15.04.2024
41111;5.0;lk 3;15.04.2024
16322;15.0;lk 3;15.04.2024
15436;60.0;lk 3;15.04.2024
15499;25.0;lk 3;15.04.2024
15499;20.0;lk 3;15.04.2024
15499;20.0;lk 3;15.04.2024
15499;55.0;lk 3;15.04.2024
13686;40.0;lk 3;15.04.2024
25602;52.5;lk 3;15.04.2024
41393;25.0;lk 3;15.04.2024
15499;40.0;lk 3;15.04.2024
23555;45.0;lk 3;15.04.2024
33718;10.0;lk 1;16.04.2024
61646;80.0;lk 1;16.04.2024
33192;30.0;lk 1;16.04.2024
33731;20.0;lk 1;16.04.2024
33793;52.5;lk 1;16.04.2024
95482;65.0;lk 1;16.04.2024
33495;20.0;lk 1;16.04.2024
41545;45.0;lk 1;16.04.2024
10057;0.0;lk 2;16.04.2024
10057;30.0;lk 2;16.04.2024
98400;60.0;lk 2;16.04.2024
98401;27.5;lk 2;16.04.2024
35566;55.0;lk 2;16.04.2024
35792;22.5;lk 2;16.04.2024
44900;60.0;lk 2;16.04.2024
35921;15.0;lk 2;16.04.2024
81475;30.0;lk 2;16.04.2024
52121;37.5;lk 2;16.04.2024
36697;65.0;lk 2;16.04.2024
52121;5.0;lk 2;16.04.2024
81476;62.5;lk 2;16.04.2024
41106;60.0;lk 2;16.04.2024
59595;35.0;lk 2;16.04.2024
52121;62.5;lk 2;16.04.2024
52990;55.0;lk 2;16.04.2024
54835;20.0;lk 2;16.04.2024
86146;15.0;lk 2;16.04.2024
35565;5.0;lk 2;16.04.2024
32489;30.0;lk 2;16.04.2024
34958;5.0;lk 2;16.04.2024
25356;50.0;lk 2;16.04.2024
25419;32.5;lk 2;16.04.2024
25597;25.0;lk 2;16.04.2024
31809;37.5;lk 2;16.04.2024
32176;50.0;lk 2;16.04.2024
35922;15.0;lk 2;16.04.2024
39208;15.0;lk 2;16.04.2024
46037;15.0;lk 2;16.04.2024
53090;15.0;lk 2;16.04.2024
32191;5.0;lk 2;16.04.2024
32489;30.0;lk 2;16.04.2024
36697;65.0;lk 2;16.04.2024
18257;70.0;lk 3;16.04.2024
14418;20.0;lk 3;16.04.2024
98399;80.0;lk 3;16.04.2024
90621;0.0;lk 3;16.04.2024
62394;0.0;lk 3;16.04.2024
62394;55.0;lk 3;16.04.2024
62394;0.0;lk 3;16.04.2024
65964;50.0;lk 3;16.04.2024
68733;0.0;lk 3;16.04.2024
20104;25.0;lk 3;16.04.2024
65963;50.0;lk 3;16.04.2024
20104;15.0;lk 3;16.04.2024
68735;10.0;lk 3;16.04.2024
68740;20.0;lk 3;16.04.2024
32127;30.0;lk 3;16.04.2024
19353;52.5;lk 3;16.04.2024
24699;27.5;lk 3;16.04.2024
24654;40.0;lk 3;16.04.2024
14857;40.0;lk 3;16.04.2024
28199;37.5;lk 3;16.04.2024
31640;10.0;lk 3;16.04.2024
31790;20.0;lk 3;16.04.2024
35552;15.0;lk 3;16.04.2024
13686;40.0;lk 3;16.04.2024
15393;32.5;lk 3;16.04.2024
15406;65.0;lk 3;16.04.2024
66883;25.0;lk 3;16.04.2024
17372;65.0;lk 3;16.04.2024
13686;20.0;lk 3;16.04.2024
18257;60.0;lk 3;16.04.2024
62394;0.0;lk 3;16.04.2024
20557;35.0;lk 3;16.04.2024
44898;65.0;lk 3;16.04.2024
48970;15.0;lk 3;16.04.2024
15634;52.5;lk 3;16.04.2024
20557;35.0;lk 3;16.04.2024
20104;25.0;lk 3;16.04.2024
28200;80.0;lk 3;16.04.2024
31796;20.0;lk 3;16.04.2024
31797;10.0;lk 3;16.04.2024
32127;10.0;lk 3;16.04.2024
32145;30.0;lk 3;16.04.2024
20104;52.5;lk 3;16.04.2024
20104;52.5;lk 3;16.04.2024
